Date,Precip,Tmin,Tmax,Temp,Rs,uz,RH,ET0
2018-09-14,0,13.4,24,19.793023255814,0.107427906976744,0.564186046511628,74.2960370238383,0.841402458409675
2018-09-15,0,11.1,22.6,16.471875,0.08804375,0.701354166666667,78.6967730569347,1.0254521865674
2018-09-16,0,8.2,23.1,15.1958333333333,0.078075,0.410729166666667,82.9757709573651,0.831702628322188
2018-09-17,0,7.9,27.2,16.6947916666667,0.0817125,0.34875,80.5398907991937,0.980324424213695
2018-09-18,0,9.9,27.4,17.6479166666667,0.0756625,0.3825,83.2431966411808,0.95782620898466
2018-09-19,0,10.2,28,18.1677083333333,0.07861875,0.357395833333333,79.4548647470695,1.00751597915658
2018-09-20,0,10.3,29,17.9052083333333,0.07589375,0.333020833333333,78.0195959882679,1.05954898334247
2018-09-21,0.102,9.4,25.8,16.7864583333333,0.05496875,0.5590625,78.476644703085,1.10151436313672
2018-09-22,0,8,20.3,14.4958333333333,0.0759875,0.4925,65.6383995450239,1.01392057779946
2018-09-23,6.736,12.8,27.5,20.6885416666667,0.06170625,1.14041666666667,60.9133152455982,1.55149427352403
2018-09-24,0,8.4,14,11.415625,0.07006875,2.01864583333333,70.7391833832559,1.43654239669941
2018-09-25,0,6.6,15.6,10.7666666666667,0.07385,2.58333333333333,58.8044507809905,2.08220696512946
2018-09-26,0,0.5,20,9.93333333333333,0.06964375,0.5128125,73.2025754824586,0.941585617365292
2018-09-27,0,3.2,24,12.046875,0.0679125,0.336666666666667,83.4349787915101,0.904220579330174
2018-09-28,0,4.5,23.5,13.953125,0.06641875,0.5771875,77.7253030207063,1.0854437155118
2018-09-29,0,6.9,16.7,12.809375,0.05063125,1.92177083333333,72.0771764685258,1.32140376653073
2018-09-30,5.175,3.6,22.1,11.5822916666667,0.0582875,0.434270833333333,86.9000938458809,0.868608232480581
2018-10-01,3.367,5,12.1,9.70520833333333,0.02638125,0.698125,91.7550732937184,0.637632976506253
2018-10-02,0.17,3.1,13.3,8.78333333333333,0.05525625,0.436770833333333,84.2119306476224,0.703645417511778
2018-10-03,0,5.7,18.1,11.89375,0.05600625,0.766666666666667,85.0698207117698,0.830534229113886
2018-10-04,0.051,6.5,18.6,11.671875,0.0581625,1.25145833333333,89.1934041955017,1.07458509093916
2018-10-05,0.102,4.2,21.6,11.50625,0.05715625,0.372395833333333,88.1128939566217,0.819766869272229
2018-10-06,0.017,7.3,21.6,12.678125,0.04676875,0.303958333333333,89.7457921555791,0.752107039902448
2018-10-07,0.034,6.6,20.1,13.3625,0.04195625,0.925625,86.6611495646289,0.941418843996053
2018-10-08,0,8.3,18.5,13.6375,0.03629375,0.932708333333333,92.5634916775147,0.752408348883159
2018-10-09,0,7.8,20.3,13.7354166666667,0.0460125,0.609895833333333,91.3768069266262,0.769893766961013
2018-10-10,0.119,6.5,18.4,11.9197916666667,0.03488125,0.5753125,96.7247337901154,0.645164763974395
2018-10-11,0.068,6.6,20,12.0145833333333,0.03610625,0.568229166666667,93.7085232775123,0.756603112669251
2018-10-12,0.102,5.8,24,13.0291666666667,0.04845625,0.371979166666667,85.5056389109287,0.901797713417261
2018-10-13,0.102,4.6,23.5,12.2666666666667,0.04784375,0.390520833333333,86.9347406464506,0.920822024775692
2018-10-14,0.119,4.2,23.7,11.840625,0.04856875,0.361666666666667,84.5867518607074,0.943961261454265
2018-10-15,0.102,2.4,22.5,10.6541666666667,0.046725,0.711666666666667,81.9318817171773,1.31327066885206
2018-10-16,0.017,3.8,21.3,10.5875,0.04444375,0.63,82.0866513342933,1.13366412599141
2018-10-17,0,1.8,20.3,9.753125,0.04533125,0.718020833333333,83.6654054978655,1.12751254264535
2018-10-18,0,3.8,20.4,11.5291666666667,0.0474625,1.534375,80.6323574472367,1.59705156506061
2018-10-19,0.017,4.7,16.7,10.4864583333333,0.040175,1.02885416666667,91.3137624454123,0.770408000037131
2018-10-20,0.068,5.2,17.8,11.315625,0.04253125,1.2390625,90.7962893823424,0.949797434180267
2018-10-21,0.153,3.9,15.4,9.48020833333333,0.04115,1.7803125,92.2149831779597,0.916826797996993
2018-10-22,0,3.1,14.8,8.58020833333333,0.0413625,2.21395833333333,73.7600913301886,1.60181984205548
2018-10-23,0,0.9,16.1,7.95208333333333,0.04115,0.798541666666667,82.1616940821141,0.946284855435104
2018-10-24,0,4.3,18.8,11.3510416666667,0.03504375,0.899791666666667,80.5116824409685,1.0903586939255
2018-10-25,0.051,2.3,18.3,9.596875,0.03855625,0.481458333333333,90.6112969219858,0.737114485109574
2018-10-26,0.085,2.3,13.3,7.54375,0.0246875,0.348541666666667,98.8348571750837,0.473608996866462
2018-10-27,18.198,2.2,8.4,5.91354166666667,0.010425,1.4221875,99.9934943508116,0.460174177856103
2018-10-28,7.725,1.9,4.9,3.097,0.023784,3.3028,99.9093586377771,0.423330666537753
2018-10-29,3.455,2.9,6.6,4.09583333333333,0.0165625,2.75916666666667,99.961625943219,0.450275378110023
2018-10-30,0.748,-1.4,8.4,3.74270833333333,0.020875,2.53979166666667,96.3230612697973,0.643502010973586
2018-10-31,0.102,-1.4,7.2,2.3625,0.020775,0.831458333333333,99.7251344027821,0.422796424262638
2018-11-01,4.833,0.2,14.4,5.95416666666667,0.028175,0.545729166666667,97.3453191425379,0.574286415925547
2018-11-02,0.051,3.8,10.4,7.48645833333333,0.0177,0.5428125,99.9859299982011,0.428934913743739
2018-11-03,0,8,12.1,9.6625,0.029375,1.49895833333333,95.9119651929614,0.569012040977724
2018-11-04,0,7.8,9.8,8.64479166666667,0.01418125,0.906770833333333,99.9151264977348,0.431946925005456
2018-11-05,0,4.5,11.7,7.98645833333333,0.02118125,0.48875,100.012594955535,0.439660199468273
2018-11-06,0.136,4,13.3,7.85833333333333,0.0245875,0.703958333333333,99.3531910774188,0.483052376756171
2018-11-07,3.794,3.6,12.7,8.115625,0.02375,0.526875,98.8401839846943,0.470350168771195
2018-11-08,4.081,4.4,12.3,8.74791666666667,0.0289875,0.883645833333333,98.5238097217688,0.512628264259758
