Device;Device serial;ID;Date/Time;Value;Unit;Mode;Value2;Unit2;Mode2;Measurement;Calibration;Additional;Sensor;Sensor serial;User
Multi 3420; 14050576;4;05.06.2019 10:15:23;615;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:15:28;610;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:15:33;621;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:15:38;690;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:15:43;611;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:15:48;642;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:15:53;632;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:15:58;666;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:16:03;653;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:16:08;649;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:16:13;661;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:16:18;649;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:16:23;615;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:16:28;634;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:16:33;656;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:16:38;661;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:16:43;581;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:16:48;630;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:16:53;647;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:16:58;640;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:17:03;666;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:17:08;659;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:17:13;656;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:17:18;655;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:17:23;644;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:17:28;666;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:17:33;603;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
Multi 3420; 14050576;4;05.06.2019 10:17:38;632;µS/cm;Cond;10,2;°C;Temp;;+++;C = 0,464 1/cm   Tref25   nLF;TetraCon 925-P; 15170652;
