ID,Time_ms,Depth_cm,FlowUP_Hz,FlowDN_Hz,N,Flow_Hz
Point measurement,8,1451,0,0,11982,0
Point measurement,8,1451,0,0,11982,0
Point measurement,8,1451,0,0,11982,0
Point measurement,8,1451,0,0,11982,0
Point measurement,8,1451,0,0,11982,0
Point measurement,8,1451,0,0,11982,0
Point measurement,8,1451,0,0,11982,0
Point measurement,8,1451,0,0,11982,0
Point measurement,8,1451,0,0,11982,0
Point measurement,8,1451,0,0,11982,0
Point measurement,8,1451,0,0,11982,0
Point measurement,8,1451,0,0,11982,0
Point measurement,8,1451,0,0,11982,0
Point measurement,8,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,9,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,10,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,11,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,12,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,13,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,14,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,15,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,16,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
Point measurement,17,1451,0,0,11982,0
