No;Datetime [local time]Europe/Zurich;Datetime [UTC];p [bar] - luiw_arc1_268;T Sonde [°C] - luiw_arc1_268;PBaro [bar] - luiw_arc1_268;TBaro [°C] - luiw_arc1_268;Conductivity Tc [mS/cm] - luiw_arc1_268;p Sonde 2 [bar] - luiw_arc1_268;p Sonde 3 [bar] - luiw_arc1_268;T Sonde 2 [°C] - luiw_arc1_268;T Sonde 3 [°C] - luiw_arc1_268;Conductivity Tc (2) [mS/cm] - luiw_arc1_268;Conductivity Tc (3) [mS/cm] - luiw_arc1_268
1;2018-06-06 16:14:58.787;2018-06-06T14:14:58.787Z;0.969140053;13.803771973;;;0.539186656;;;;;;
2;2018-06-06 16:19:43.095;2018-06-06T14:19:43.095Z;0.969096184;13.909362793;;;0.538234591;;;;;;
3;2018-06-06 16:34:43.096;2018-06-06T14:34:43.096Z;0.968994856;14.237365723;;;0.536692321;;;;;;
4;2018-06-06 17:09:43.102;2018-06-06T15:09:43.102Z;0.96903491;14.992248535;;;0.533481419;;;;;;
5;2018-06-06 17:34:43.133;2018-06-06T15:34:43.133Z;0.969192266;15.449829102;;;0.531952739;;;;;;
6;2018-06-06 20:34:43.140;2018-06-06T18:34:43.140Z;0.970714808;17.247924805;;;0.527746201;;;;;;
7;2018-06-06 20:49:43.086;2018-06-06T18:49:43.086Z;1.323366404;10.020751953;;;0.538778424;;;;;;
8;2018-06-06 23:49:43.811;2018-06-06T21:49:43.811Z;1.325451612;9.948669434;;;0.545579553;;;;;;
9;2018-06-07 00:29:43.743;2018-06-06T22:29:43.743Z;1.325391054;9.952697754;;;0.545912802;;;;;;
10;2018-06-07 01:34:43.706;2018-06-06T23:34:43.706Z;1.325247049;9.948669434;;;0.545912802;;;;;;
11;2018-06-11 22:22:29.345;2018-06-11T20:22:29.345Z;0.957546234;26.259277344;;;0.002962039;;;;;;
12;2018-06-11 22:27:21.431;2018-06-11T20:27:21.431Z;0.957330942;26.22668457;;;0.003157421;;;;;;
13;2018-06-11 22:32:21.426;2018-06-11T20:32:21.426Z;0.957371712;26.161254883;;;0.002781287;;;;;;
14;2018-06-11 22:37:21.412;2018-06-11T20:37:21.412Z;0.957381248;26.077697754;;;0.002594105;;;;;;
15;2018-06-11 22:42:21.414;2018-06-11T20:42:21.414Z;0.957431793;25.986877441;;;0.002598396;;;;;;
16;2018-06-11 22:47:21.426;2018-06-11T20:47:21.426Z;0.95733881;25.899597168;;;0.0026027;;;;;;
17;2018-06-11 22:47:22.214;2018-06-11T20:47:22.214Z;0.95733881;25.899597168;;;0.0026027;;;;;;
18;2018-06-11 22:52:21.419;2018-06-11T20:52:21.419Z;0.957319736;25.834106445;;;0.002509878;;;;;;
19;2018-06-11 22:52:22.020;2018-06-11T20:52:22.020Z;0.957319736;25.834106445;;;0.002509878;;;;;;
20;2018-06-11 22:57:21.416;2018-06-11T20:57:21.416Z;0.95733285;25.764953613;;;0.002996039;;;;;;
21;2018-06-11 23:02:21.416;2018-06-11T21:02:21.416Z;0.957369566;25.699401855;;;0.003289276;;;;;;
22;2018-06-11 23:07:21.419;2018-06-11T21:07:21.419Z;0.957369566;25.659301758;;;0.002905734;;;;;;
23;2018-06-11 23:12:21.415;2018-06-11T21:12:21.415Z;0.957351446;25.611999512;;;0.002810771;;;;;;
24;2018-06-11 23:17:21.417;2018-06-11T21:17:21.417Z;0.957361698;25.557373047;;;0.002813754;;;;;;
25;2018-06-11 23:22:21.415;2018-06-11T21:22:21.415Z;0.957291603;25.524475098;;;0.003010131;;;;;;
26;2018-06-11 23:22:22.376;2018-06-11T21:22:22.376Z;0.957291603;25.524475098;;;0.003010131;;;;;;
27;2018-06-11 23:27:21.417;2018-06-11T21:27:21.417Z;0.957291126;25.520874023;;;0.002331896;;;;;;
28;2018-06-11 23:32:21.417;2018-06-11T21:32:21.417Z;0.957272053;25.524475098;;;0.0027198;;;;;;
29;2018-06-11 23:37:21.425;2018-06-11T21:37:21.425Z;0.957248211;25.531799316;;;0.002720213;;;;;;
30;2018-06-11 23:42:21.420;2018-06-11T21:42:21.420Z;0.957322121;25.531799316;;;0.003107491;;;;;;
31;2018-06-11 23:42:22.850;2018-06-11T21:42:22.850Z;0.957322121;25.531799316;;;0.003107491;;;;;;
32;2018-06-11 23:47:21.426;2018-06-11T21:47:21.426Z;0.95736599;25.531799316;;;0.00281717;;;;;;
33;2018-06-11 23:52:21.425;2018-06-11T21:52:21.425Z;0.957393169;25.535461426;;;0.00281717;;;;;;
34;2018-06-11 23:57:21.418;2018-06-11T21:57:21.418Z;0.957364082;25.535461426;;;0.003107962;;;;;;
35;2018-06-12 00:02:21.419;2018-06-11T22:02:21.419Z;0.957390308;25.531799316;;;0.00281717;;;;;;
36;2018-06-12 00:02:22.501;2018-06-11T22:02:22.501Z;0.957390308;25.531799316;;;0.00281717;;;;;;
37;2018-06-12 00:07:21.429;2018-06-11T22:07:21.429Z;0.957499027;25.528137207;;;0.002720626;;;;;;
38;2018-06-12 00:12:21.044;2018-06-11T22:12:21.044Z;0.957501411;25.524475098;;;0.002527025;;;;;;
39;2018-06-12 00:17:21.037;2018-06-11T22:17:21.037Z;0.957383633;25.517272949;;;0.002624437;;;;;;
40;2018-06-12 00:22:21.040;2018-06-11T22:22:21.040Z;0.957368135;25.51361084;;;0.003303763;;;;;;
41;2018-06-12 00:27:21.054;2018-06-11T22:27:21.054Z;0.957380056;25.50994873;;;0.002915884;;;;;;
42;2018-06-12 00:32:21.034;2018-06-11T22:32:21.034Z;0.957350492;25.506286621;;;0.002819738;;;;;;
43;2018-06-12 00:37:21.035;2018-06-11T22:37:21.035Z;0.957283497;25.502624512;;;0.002722692;;;;;;
44;2018-06-12 00:42:21.031;2018-06-11T22:42:21.031Z;0.957210541;25.498962402;;;0.00291677;;;;;;
45;2018-06-12 00:47:21.035;2018-06-11T22:47:21.035Z;0.9571805;25.495361328;;;0.002722692;;;;;;
46;2018-06-12 00:52:21.058;2018-06-11T22:52:21.058Z;0.957071304;25.491699219;;;0.003014248;;;;;;
47;2018-06-12 00:57:21.091;2018-06-11T22:57:21.091Z;0.956991196;25.491699219;;;0.002917656;;;;;;
48;2018-06-12 01:02:21.040;2018-06-11T23:02:21.040Z;0.95700264;25.488098145;;;0.002917656;;;;;;
49;2018-06-12 01:07:21.031;2018-06-11T23:07:21.031Z;0.957118511;25.484436035;;;0.002917656;;;;;;
50;2018-06-12 01:12:21.044;2018-06-11T23:12:21.044Z;0.957235575;25.480773926;;;0.003694795;;;;;;
51;2018-06-12 01:17:21.157;2018-06-11T23:17:21.157Z;0.957260847;25.473449707;;;0.002724762;;;;;;
52;2018-06-12 01:22:21.037;2018-06-11T23:22:21.037Z;0.957257032;25.469787598;;;0.002530483;;;;;;
53;2018-06-12 01:27:21.034;2018-06-11T23:27:21.034Z;0.957313061;25.466186523;;;0.002628028;;;;;;
54;2018-06-12 01:32:21.036;2018-06-11T23:32:21.036Z;0.957344055;25.462524414;;;0.003113633;;;;;;
55;2018-06-12 01:37:21.047;2018-06-11T23:37:21.047Z;0.957297325;25.45892334;;;0.00282274;;;;;;
56;2018-06-12 01:42:21.219;2018-06-11T23:42:21.219Z;0.957321167;25.45526123;;;0.003211202;;;;;;
57;2018-06-12 01:47:21.043;2018-06-11T23:47:21.043Z;0.95746851;25.451599121;;;0.002531253;;;;;;
58;2018-06-12 01:52:21.032;2018-06-11T23:52:21.032Z;0.957410336;25.451599121;;;0.003017457;;;;;;
59;2018-06-12 01:57:21.039;2018-06-11T23:57:21.039Z;0.957321644;25.444335938;;;0.003405354;;;;;;
60;2018-06-12 02:02:21.047;2018-06-12T00:02:21.047Z;0.957274675;25.437011719;;;0.00272642;;;;;;
61;2018-06-12 02:07:21.032;2018-06-12T00:07:21.032Z;0.957225084;25.426086426;;;0.002824028;;;;;;
62;2018-06-12 02:12:21.063;2018-06-12T00:12:21.063Z;0.95720768;25.411499023;;;0.002727665;;;;;;
63;2018-06-12 02:17:21.051;2018-06-12T00:17:21.051Z;0.957243204;25.396911621;;;0.003117425;;;;;;
64;2018-06-12 02:22:21.085;2018-06-12T00:22:21.085Z;0.957196236;25.389648438;;;0.002826178;;;;;;
65;2018-06-12 02:27:21.052;2018-06-12T00:27:21.052Z;0.957213879;25.378601074;;;0.003021593;;;;;;
66;2018-06-12 02:32:21.034;2018-06-12T00:32:21.034Z;0.957360983;25.364013672;;;0.00253588;;;;;;
67;2018-06-12 02:37:21.034;2018-06-12T00:37:21.034Z;0.957434416;25.360412598;;;0.002536267;;;;;;
68;2018-06-12 02:42:21.047;2018-06-12T00:42:21.047Z;0.957491159;25.349487305;;;0.002828762;;;;;;
69;2018-06-12 02:47:21.038;2018-06-12T00:47:21.038Z;0.957489491;25.342163086;;;0.003120751;;;;;;
70;2018-06-12 02:52:21.034;2018-06-12T00:52:21.034Z;0.957479;25.334838867;;;0.002634438;;;;;;
71;2018-06-12 02:57:21.047;2018-06-12T00:57:21.047Z;0.95753336;25.327575684;;;0.00341418;;;;;;
72;2018-06-12 03:07:21.041;2018-06-12T01:07:21.041Z;0.957664728;25.316650391;;;0.002830919;;;;;;
73;2018-06-12 03:12:21.034;2018-06-12T01:12:21.034Z;0.957667112;25.309326172;;;0.002733906;;;;;;
74;2018-06-12 03:17:21.036;2018-06-12T01:17:21.036Z;0.957659721;25.302062988;;;0.002636447;;;;;;
75;2018-06-12 03:22:21.036;2018-06-12T01:22:21.036Z;0.95765543;25.29473877;;;0.002636849;;;;;;
76;2018-06-12 03:27:21.080;2018-06-12T01:27:21.080Z;0.957680464;25.287414551;;;0.002930124;;;;;;
77;2018-06-12 03:32:21.042;2018-06-12T01:32:21.042Z;0.957704306;25.283752441;;;0.002930571;;;;;;
78;2018-06-12 03:37:21.050;2018-06-12T01:37:21.050Z;0.957586288;25.272766113;;;0.002833512;;;;;;
79;2018-06-12 03:42:21.050;2018-06-12T01:42:21.050Z;0.957690239;25.269104004;;;0.003223949;;;;;;
80;2018-06-12 03:47:21.043;2018-06-12T01:47:21.043Z;0.957519531;25.26550293;;;0.00273641;;;;;;
81;2018-06-12 03:52:21.035;2018-06-12T01:52:21.035Z;0.957390308;25.258178711;;;0.003029437;;;;;;
82;2018-06-12 03:57:21.039;2018-06-12T01:57:21.039Z;0.957333088;25.258178711;;;0.003029899;;;;;;
83;2018-06-12 04:02:21.039;2018-06-12T02:02:21.039Z;0.957298756;25.254577637;;;0.003322939;;;;;;
84;2018-06-12 04:07:21.036;2018-06-12T02:07:21.036Z;0.957208872;25.247253418;;;0.002932809;;;;;;
85;2018-06-12 04:12:21.040;2018-06-12T02:12:21.040Z;0.957154751;25.243652344;;;0.002932809;;;;;;
86;2018-06-12 04:17:21.039;2018-06-12T02:17:21.039Z;0.95711875;25.236328125;;;0.003031288;;;;;;
87;2018-06-12 04:22:21.037;2018-06-12T02:22:21.037Z;0.957114458;25.229003906;;;0.003031288;;;;;;
88;2018-06-12 04:27:21.046;2018-06-12T02:27:21.046Z;0.957115889;25.221740723;;;0.003129813;;;;;;
89;2018-06-12 04:32:21.035;2018-06-12T02:32:21.035Z;0.957125664;25.214416504;;;0.002934602;;;;;;
90;2018-06-12 04:37:21.043;2018-06-12T02:37:21.043Z;0.957143307;25.207092285;;;0.002837844;;;;;;
91;2018-06-12 04:42:21.052;2018-06-12T02:42:21.052Z;0.957168341;25.199768066;;;0.002642493;;;;;;
92;2018-06-12 04:47:21.042;2018-06-12T02:47:21.042Z;0.957160711;25.192504883;;;0.003228879;;;;;;
93;2018-06-12 04:52:21.045;2018-06-12T02:52:21.045Z;0.957148314;25.188842773;;;0.003131728;;;;;;
94;2018-06-12 04:57:21.046;2018-06-12T02:57:21.046Z;0.957105398;25.18157959;;;0.002839147;;;;;;
95;2018-06-12 05:02:21.039;2018-06-12T03:02:21.039Z;0.957083702;25.17791748;;;0.002741852;;;;;;
96;2018-06-12 05:07:21.046;2018-06-12T03:07:21.046Z;0.95707798;25.166870117;;;0.003523844;;;;;;
97;2018-06-12 05:12:21.044;2018-06-12T03:12:21.044Z;0.957029104;25.159606934;;;0.003231844;;;;;;
98;2018-06-12 05:17:21.112;2018-06-12T03:17:21.112Z;0.957029104;25.15234375;;;0.003036391;;;;;;
99;2018-06-12 05:22:21.054;2018-06-12T03:22:21.054Z;0.956996202;25.141357422;;;0.002939094;;;;;;
100;2018-06-12 05:27:21.040;2018-06-12T03:27:21.040Z;0.957036972;25.130371094;;;0.002940444;;;;;;
101;2018-06-12 05:32:21.040;2018-06-12T03:32:21.040Z;0.957067966;25.119445801;;;0.002647349;;;;;;
102;2018-06-12 05:37:21.055;2018-06-12T03:37:21.055Z;0.957057238;25.108459473;;;0.002745632;;;;;;
103;2018-06-12 05:42:21.041;2018-06-12T03:42:21.041Z;0.957000971;25.101196289;;;0.003137485;;;;;;
104;2018-06-12 05:47:21.055;2018-06-12T03:47:21.055Z;0.956891775;25.090209961;;;0.002844803;;;;;;
105;2018-06-12 05:47:21.940;2018-06-12T03:47:21.940Z;0.956891775;25.090209961;;;0.002844803;;;;;;
106;2018-06-12 05:52:21.049;2018-06-12T03:52:21.049Z;0.956879139;25.082885742;;;0.002942697;;;;;;
107;2018-06-12 05:57:21.049;2018-06-12T03:57:21.049Z;0.956814766;25.075561523;;;0.003139409;;;;;;
108;2018-06-12 06:02:21.055;2018-06-12T04:02:21.055Z;0.956742287;25.071960449;;;0.003041511;;;;;;
109;2018-06-12 06:07:21.044;2018-06-12T04:07:21.044Z;0.956722736;25.06463623;;;0.003041978;;;;;;
110;2018-06-12 06:12:21.043;2018-06-12T04:12:21.043Z;0.956744432;25.057312012;;;0.003140854;;;;;;
111;2018-06-12 06:17:21.042;2018-06-12T04:17:21.042Z;0.956759214;25.046325684;;;0.002259228;;;;;;
112;2018-06-12 06:22:21.039;2018-06-12T04:22:21.039Z;0.956715584;25.039001465;;;0.002946762;;;;;;
113;2018-06-12 06:27:21.048;2018-06-12T04:27:21.048Z;0.956673622;25.028015137;;;0.002848295;;;;;;
114;2018-06-12 06:32:21.044;2018-06-12T04:32:21.044Z;0.956737041;25.017089844;;;0.002751533;;;;;;
115;2018-06-12 06:37:21.068;2018-06-12T04:37:21.068Z;0.956767321;25.006164551;;;0.003242264;;;;;;
116;2018-06-12 06:42:21.046;2018-06-12T04:42:21.046Z;0.956790686;24.995178223;;;0.00324326;;;;;;
117;2018-06-12 06:47:21.039;2018-06-12T04:47:21.039Z;0.95679903;24.98425293;;;0.002655076;;;;;;
118;2018-06-12 06:52:21.038;2018-06-12T04:52:21.038Z;0.956735849;24.969482422;;;0.00294993;;;;;;
119;2018-06-12 06:57:21.040;2018-06-12T04:57:21.040Z;0.95668745;24.962280273;;;0.003048521;;;;;;
120;2018-06-12 07:02:21.063;2018-06-12T05:02:21.063Z;0.956749201;24.951293945;;;0.002460252;;;;;;
121;2018-06-12 07:02:21.586;2018-06-12T05:02:21.586Z;0.956749201;24.951293945;;;0.002460252;;;;;;
122;2018-06-12 07:07:21.043;2018-06-12T05:07:21.043Z;0.956784964;24.944030762;;;0.003344393;;;;;;
123;2018-06-12 07:12:21.041;2018-06-12T05:12:21.041Z;0.956822157;24.936645508;;;0.002952198;;;;;;
124;2018-06-12 07:17:21.043;2018-06-12T05:17:21.043Z;0.956880331;24.936645508;;;0.002952652;;;;;;
125;2018-06-12 07:22:21.050;2018-06-12T05:22:21.050Z;0.956934452;24.929260254;;;0.002756187;;;;;;
126;2018-06-12 07:27:20.991;2018-06-12T05:27:20.991Z;0.956977367;24.914733887;;;0.002953561;;;;;;
127;2018-06-12 07:32:20.977;2018-06-12T05:32:20.977Z;0.957004547;24.907409668;;;0.003052273;;;;;;
128;2018-06-12 07:37:20.990;2018-06-12T05:37:20.990Z;0.957009554;24.889099121;;;0.002266529;;;;;;
129;2018-06-12 07:42:20.979;2018-06-12T05:42:20.979Z;0.957051516;24.878112793;;;0.002759157;;;;;;
130;2018-06-12 07:47:20.981;2018-06-12T05:47:20.981Z;0.957028389;24.867126465;;;0.002858382;;;;;;
131;2018-06-12 07:52:20.978;2018-06-12T05:52:20.978Z;0.957082272;24.852539062;;;0.003252251;;;;;;
132;2018-06-12 07:57:21.014;2018-06-12T05:57:21.014Z;0.957118034;24.845214844;;;0.002859703;;;;;;
133;2018-06-12 08:02:20.984;2018-06-12T06:02:20.984Z;0.957253695;24.826904297;;;0.002466317;;;;;;
134;2018-06-12 08:12:20.979;2018-06-12T06:12:20.979Z;0.957360983;24.793945312;;;0.002665311;;;;;;
135;2018-06-12 08:17:20.987;2018-06-12T06:17:20.987Z;0.957298756;24.779296875;;;0.003256764;;;;;;
136;2018-06-12 08:22:20.980;2018-06-12T06:22:20.980Z;0.957333088;24.764648438;;;0.002765542;;;;;;
137;2018-06-12 08:32:20.974;2018-06-12T06:32:20.974Z;0.957368612;24.75;;;0.002372213;;;;;;
138;2018-06-12 08:37:20.983;2018-06-12T06:37:20.983Z;0.95739007;24.746337891;;;0.002668191;;;;;;
139;2018-06-12 08:42:20.979;2018-06-12T06:42:20.979Z;0.957442522;24.739013672;;;0.002964504;;;;;;
140;2018-06-12 08:52:20.971;2018-06-12T06:52:20.971Z;0.95736146;24.731689453;;;0.002866769;;;;;;
141;2018-06-12 08:57:20.976;2018-06-12T06:57:20.976Z;0.957357645;24.724365234;;;0.002669839;;;;;;
142;2018-06-12 09:02:20.976;2018-06-12T07:02:20.976Z;0.95731473;24.720703125;;;0.003163169;;;;;;
143;2018-06-12 09:07:20.979;2018-06-12T07:07:20.979Z;0.957265615;24.717102051;;;0.002867655;;;;;;
144;2018-06-12 09:12:20.972;2018-06-12T07:12:20.972Z;0.957257509;24.713378906;;;0.002670664;;;;;;
145;2018-06-12 09:17:21.000;2018-06-12T07:17:21.000Z;0.957215071;24.713378906;;;0.002769816;;;;;;
146;2018-06-12 09:22:21.037;2018-06-12T07:22:21.037Z;0.957160711;24.713378906;;;0.003065951;;;;;;
147;2018-06-12 09:27:21.194;2018-06-12T07:27:21.194Z;0.957160711;24.709716797;;;0.002868541;;;;;;
148;2018-06-12 09:32:20.971;2018-06-12T07:32:20.971Z;0.957140207;24.629150391;;;0.002871203;;;;;;
149;2018-06-12 09:37:20.978;2018-06-12T07:37:20.978Z;0.957149029;24.383422852;;;0.002586312;;;;;;
150;2018-06-12 09:42:20.978;2018-06-12T07:42:20.978Z;0.957215071;24.251342773;;;0.002792252;;;;;;
151;2018-06-12 09:47:20.979;2018-06-12T07:47:20.979Z;0.95727396;24.254943848;;;0.002395134;;;;;;
152;2018-06-12 09:52:20.975;2018-06-12T07:52:20.975Z;0.957293987;24.284362793;;;0.003191264;;;;;;
153;2018-06-12 09:57:20.999;2018-06-12T07:57:20.999Z;0.95738101;24.317382812;;;0.002891326;;;;;;
154;2018-06-12 10:02:20.985;2018-06-12T08:02:20.985Z;0.957420349;24.343078613;;;0.002591949;;;;;;
155;2018-06-12 10:07:20.976;2018-06-12T08:07:20.976Z;0.957381248;24.36505127;;;0.003386032;;;;;;
156;2018-06-12 10:12:20.978;2018-06-12T08:12:20.978Z;0.957345963;24.383422852;;;0.002689361;;;;;;
157;2018-06-12 10:17:20.995;2018-06-12T08:17:20.995Z;0.957321882;24.398071289;;;0.002788343;;;;;;
158;2018-06-12 10:22:20.973;2018-06-12T08:22:20.973Z;0.957297802;24.409179688;;;0.002688525;;;;;;
159;2018-06-12 10:27:20.991;2018-06-12T08:27:20.991Z;0.95725131;24.42376709;;;0.003085499;;;;;;
160;2018-06-12 10:32:20.978;2018-06-12T08:32:20.978Z;0.957183599;24.431152344;;;0.002488942;;;;;;
161;2018-06-12 10:37:20.981;2018-06-12T08:37:20.981Z;0.957104445;24.442138672;;;0.002786176;;;;;;
162;2018-06-12 10:42:20.975;2018-06-12T08:42:20.975Z;0.957088709;24.453125;;;0.002586714;;;;;;
163;2018-06-12 10:47:20.973;2018-06-12T08:47:20.973Z;0.957077265;24.460449219;;;0.002884139;;;;;;
164;2018-06-12 10:52:20.979;2018-06-12T08:52:20.979Z;0.957135439;24.471496582;;;0.002784444;;;;;;
165;2018-06-12 10:57:21.093;2018-06-12T08:57:21.093Z;0.957115412;24.478820801;;;0.003082144;;;;;;
166;2018-06-12 11:02:20.975;2018-06-12T09:02:20.975Z;0.957130194;24.48614502;;;0.002784012;;;;;;
167;2018-06-12 11:07:20.975;2018-06-12T09:07:20.975Z;0.957122564;24.500854492;;;0.002882348;;;;;;
168;2018-06-12 11:12:20.985;2018-06-12T09:12:20.985Z;0.957154512;24.497131348;;;0.002882348;;;;;;
169;2018-06-12 11:17:20.990;2018-06-12T09:17:20.990Z;0.957127333;24.489868164;;;0.003279523;;;;;;
170;2018-06-12 11:22:20.980;2018-06-12T09:22:20.980Z;0.957133055;24.48248291;;;0.003081187;;;;;;
171;2018-06-12 11:27:21.058;2018-06-12T09:27:21.058Z;0.957159281;24.471496582;;;0.002387692;;;;;;
172;2018-06-12 11:32:20.973;2018-06-12T09:32:20.973Z;0.957206488;24.460449219;;;0.002487008;;;;;;
173;2018-06-12 11:37:20.979;2018-06-12T09:37:20.979Z;0.957252741;24.453125;;;0.002983851;;;;;;
174;2018-06-12 11:42:20.995;2018-06-12T09:42:20.995Z;0.957297564;24.442138672;;;0.003083101;;;;;;
175;2018-06-12 11:47:20.976;2018-06-12T09:47:20.976Z;0.957310438;24.431152344;;;0.002587518;;;;;;
176;2018-06-12 11:52:20.994;2018-06-12T09:52:20.994Z;0.957322836;24.42376709;;;0.002686853;;;;;;
177;2018-06-12 11:57:20.977;2018-06-12T09:57:20.977Z;0.957315922;24.412841797;;;0.002588322;;;;;;
178;2018-06-12 12:02:20.984;2018-06-12T10:02:20.984Z;0.957310677;24.401794434;;;0.003086459;;;;;;
179;2018-06-12 12:07:20.977;2018-06-12T10:07:20.977Z;0.957220554;24.39440918;;;0.002887728;;;;;;
180;2018-06-12 12:12:20.980;2018-06-12T10:12:20.980Z;0.957286358;24.387145996;;;0.002590336;;;;;;
181;2018-06-12 12:17:20.974;2018-06-12T10:17:20.974Z;0.957324505;24.376098633;;;0.002988029;;;;;;
182;2018-06-12 12:22:20.977;2018-06-12T10:22:20.977Z;0.957290649;24.372436523;;;0.002690198;;;;;;
183;2018-06-12 12:27:21.441;2018-06-12T10:27:21.441Z;0.95726347;24.368713379;;;0.002789644;;;;;;
184;2018-06-12 12:27:22.143;2018-06-12T10:27:22.143Z;0.95726347;24.368713379;;;0.002789644;;;;;;
