"Date_CET";"T2.1";"T3.2";"T7.2";"T6.2";"T6.1";"T4.1"
2018-09-05;11.090270996;10.564697266;10.979064941;11.663208008;11.708679199;NA
2018-09-06;11.07836151125;10.5697021485;10.983829498375;11.6646248955;11.7212437218571;11.474283854
2018-09-07;11.1110432943333;10.577155219;10.995050339381;11.6801496231905;11.7453061056667;11.4844970705
2018-09-08;11.1505039758571;10.5840977262857;11.0063964845;11.69504699725;11.762976074;11.50921630875
2018-09-09;11.188885498;10.5910339356;11.0189639818824;11.7123020715;11.7764805382857;11.5233590261429
2018-09-10;11.2254638675;10.598693848;11.0308909695882;11.7282877604667;11.794588216;11.5375467935
2018-09-11;11.2550320094444;10.6055908202222;11.0443584736154;11.7456258136667;11.8232381183333;11.5492011177778
2018-09-12;11.2804056805;10.6126302081667;11.0578143779231;11.7643432616111;11.8485921223333;11.5605991907143
2018-09-13;11.3009521482;10.620617676;11.0689964294375;11.7808707099286;11.8721095493571;11.5698038733333
2018-09-14;11.3270416260625;10.6276092529375;11.0796928405;11.8005710179444;11.8949856228889;11.5806361607857
2018-09-15;11.3426818845;10.6346130375;NA;NA;NA;11.58924865725
2018-09-16;NA;NA;11.102600098;NA;NA;NA
2018-09-19;NA;NA;11.1443481445;11.900146484;11.966247559;NA
2018-09-20;NA;NA;11.153112793;11.9226629086364;11.9829378999091;NA
2018-09-21;NA;NA;11.1641438800667;11.9405250546875;11.990905762125;NA
2018-09-22;NA;NA;11.1763305663846;11.9624671938125;12.004089355875;NA
2018-09-23;NA;NA;11.1848869325;11.9880905149375;12.0165138245;NA
2018-09-24;NA;NA;11.192077637;11.9986368816667;12.020874023;11.655456543
2018-09-25;NA;NA;11.2166341146667;12.0354817713333;12.0390421546667;11.669250488
2018-09-26;11.511352539;10.704528809;11.2188381618889;12.04251098675;12.044006347375;11.6721801755
2018-09-27;11.5244445802;10.7125183105;11.2311260518462;12.0603332519286;12.0568062915714;11.682263184
2018-09-28;11.5364379883333;10.7191365556667;11.2449776784286;12.0762845549231;12.0667489856923;11.68696594275
2018-09-29;11.5538155694286;10.7290562221429;11.2555917593846;12.0952192035;12.0790666851429;11.6929016115
2018-09-30;11.5624660915556;10.7360297307778;11.2612232882353;12.1104377295882;12.0855497471176;11.7014668781667
2018-10-01;11.566833496;10.740478516;11.267953055;12.1179351805;12.0900878905;11.706726074
2018-10-03;NA;NA;11.2954711915;12.146484375;12.112487793;NA
2018-10-04;11.6047030361818;10.7709184124545;11.3063964843529;12.1553809754762;12.1166730608571;11.7289650659091
2018-10-05;11.6109472658;10.7773315432;11.3153390591818;12.1613040498611;12.1198662652222;11.7336399245652
2018-10-06;11.61837259925;10.78486124675;11.3267720541667;12.169479369825;12.13147583025;11.7391077677083
2018-10-07;11.626340230125;10.79317982975;11.3354835508125;12.177494812325;12.13693847675;11.745719909375
2018-10-08;11.6358891241852;10.8022596571481;11.3462137858;12.1855265301026;12.1463075297949;11.7518735134783
2018-10-09;11.646936035;10.8091064454;11.3581034341667;12.1962672642143;12.1544843402857;11.7566935216667
2018-10-10;NA;NA;11.3687351775;12.205505371;12.1592025755;NA
2018-10-11;NA;NA;11.3804740905;12.2138437123077;12.165039062;NA
2018-10-12;NA;NA;11.3876953124615;12.22328186075;12.170898437;NA
2018-10-13;NA;NA;11.4050331115;12.2285359703333;12.1699869786667;11.779785156
2018-10-14;NA;NA;11.4162202725294;12.2274636664118;12.1749195767059;11.781738281
2018-10-15;NA;NA;11.4221971300556;12.2256910539444;12.1795789925556;NA
2018-10-16;NA;NA;11.4336769799091;12.2301089641053;12.1855789983158;NA
2018-10-17;NA;NA;11.445085798;12.2303030834286;12.191249302;NA
2018-10-18;NA;NA;11.4547873102353;12.229187012;12.1978708899167;NA
2018-10-19;NA;NA;11.4623718265;12.230358887;12.2035156246667;NA
2018-10-20;NA;NA;11.4588453505556;12.235847982;12.206351725;NA
2018-10-21;NA;NA;11.4645888387059;12.2540116742727;12.2167580342727;NA
2018-10-22;11.765014648;10.923950195;11.4708017201538;12.2679443355294;12.2227819105294;11.807373047
2018-10-23;11.7742919923333;10.9293212893333;11.4897552492;12.2789849172222;12.2228190103333;11.8113098145
2018-10-24;11.7789001465;10.937927246;11.4996337888889;12.2787645124444;12.2187296547778;11.811706543
2018-10-25;11.78088;10.9519;11.504070354;12.2755616174118;12.2184474815294;11.8132917285
2018-10-26;11.78485;10.95587;11.5120228571429;12.2729475;12.221284375;NA
2018-10-27;11.788026;10.960682;11.5190294117647;12.2750622222222;12.2228211111111;11.81329
2018-10-28;11.7927433333333;10.9671516666667;11.5205528571429;12.2757141666667;12.2339083333333;11.81329
2018-10-29;11.8033066666667;10.97583;11.5261928571429;12.2819583333333;12.2306333333333;11.816418
2018-10-30;11.8097242857143;10.9815271428571;11.530273;12.28552;12.2369845454545;11.816418
2018-10-31;11.8170971428571;10.9877942857143;11.531463;12.28993;12.23568;11.815245
2018-11-01;11.8249425;10.99324875;11.5346611764706;12.2932321428571;12.242995;11.8168445454545
2018-11-02;11.83432;10.99969;11.5358283333333;12.2940783333333;12.24817;11.815245
2018-11-21;NA;NA;11.6277383333333;12.222752;12.1749346666667;NA
2018-11-22;NA;NA;11.6401092857143;12.2173225;12.16287;NA
2018-11-23;NA;NA;11.6630135294118;12.2117292307692;12.1521807692308;NA
2018-11-24;NA;NA;11.6582442857143;12.2042411764706;12.1485770588235;NA
2018-11-25;NA;NA;11.65815125;12.1982482352941;12.1456158823529;NA
2018-11-26;11.8363;11.1351728571429;11.661986;12.1929211764706;12.1428705882353;11.7257783333333
2018-11-27;11.83278;11.1387255555556;11.6641033333333;12.1859935294118;12.1375882352941;11.721307
2018-11-28;11.82788125;11.14263125;11.6678490909091;12.1799338888889;12.1360816666667;11.7146171428571
2018-11-29;11.8248154545455;11.1449627272727;11.66865;12.17338;12.130930952381;11.7067292307692
2018-11-30;11.822975;11.150105;11.6718633333333;12.1677591666667;12.12744;11.7005342857143
2018-12-01;11.8188458333333;11.153105;11.6729466666667;12.1602190909091;12.1226054545455;11.6926214285714
2018-12-02;11.818118;11.158266;11.668757;12.154746;12.121082;11.6858514285714
2018-12-03;11.8130011111111;11.16126;11.653525;12.149232;12.112876;11.6791075
2018-12-04;11.8115675;11.162525;11.6494788235294;12.14413;12.103717;11.67317125
2018-12-05;11.8107955555556;11.1674844444444;11.6552271428571;12.1379288888889;12.0930155555556;11.66629
2018-12-06;11.8101169230769;11.1685538461538;11.6586031578947;12.1293323076923;12.0856569230769;11.65858
2018-12-07;11.8078;11.174196;11.660795;12.1203646666667;12.0788273333333;11.648314
2018-12-08;11.802645;11.1760275;11.6593406666667;12.1111784615385;12.0721338461538;11.64158
2018-12-09;11.791745;11.18097;11.6593393333333;12.101931;12.062587;11.63172
2018-12-10;11.7855718181818;11.1865890909091;11.654105625;12.0927113333333;12.051804;11.62136
2018-12-11;11.7812436363636;11.1873109090909;11.65435375;12.0826573684211;12.0423978947368;11.6119388888889
2018-12-12;11.774935;11.1902583333333;11.6537672727273;12.071986;12.03452;11.6040175
2018-12-13;11.76904;11.1935633333333;NA;NA;NA;NA
2018-12-14;NA;NA;11.65881;12.043975;12.01117;NA
2018-12-15;11.75708;11.20282;11.6583711111111;12.03563875;12.0043325;11.56854
2018-12-16;11.74921;11.20685;11.6582015384615;12.0240264285714;11.9955442857143;11.557446
2018-12-17;11.74518;11.208438;11.6578961538462;12.014716;11.9878646666667;11.55273
2018-12-18;NA;NA;11.656335;12.0025793333333;11.977186;NA
2018-12-19;NA;NA;11.6544872727273;11.9916507142857;11.9682335714286;NA
2018-12-20;NA;NA;11.6500442105263;11.981612;11.9597753333333;NA
2018-12-21;11.72534;11.22272;11.6477046666667;11.9680894117647;11.9488976470588;11.5013125
2018-12-22;11.7174871428571;11.2244471428571;11.6368415384615;11.9547338095238;11.9373004761905;11.4921066666667
2018-12-23;11.7125375;11.22675;11.632628;11.9397415;11.9251255;11.48252
2018-12-24;11.70642;11.229918;11.6287105882353;11.9232682352941;11.9098552941176;11.46869
2018-12-25;11.6986825;11.23071;11.6252273333333;11.908406;11.89902;11.4578375
2018-12-26;11.6925914285714;11.2329442857143;11.6239457894737;11.8956114285714;11.88601;11.446645
2018-12-27;11.684978;11.236635;11.6233435294118;11.8807533333333;11.8746238888889;11.4387316666667
2018-12-28;11.6765766666667;11.2386266666667;11.6233470588235;11.8680458823529;11.8600441176471;11.42621
2018-12-29;11.66992;11.242612;11.6208291666667;11.8580206666667;11.84768;11.4115314285714
2018-12-30;11.6580633333333;11.2479233333333;11.621546;11.8476505882353;11.8377523529412;11.402465
2018-12-31;11.64215;11.25061;11.6215131818182;11.8361016666667;11.8297116666667;NA
2019-01-01;NA;NA;11.6195723809524;11.826135625;11.822914375;NA
2019-01-02;NA;NA;11.6176527777778;11.8157292307692;11.8162492307692;NA
2019-01-03;NA;NA;11.6160246666667;11.8072576470588;11.8132135294118;NA
2019-01-04;11.60651;11.25861;11.6119682352941;11.7941476923077;11.8048076923077;11.33025
2019-01-05;11.60254;11.26654;11.60854;11.7781773684211;11.7921084210526;NA
2019-01-06;11.5933;11.2652166666667;11.6022746666667;11.7674;11.7852684615385;11.311464
2019-01-07;11.5783072222222;11.2674227777778;11.5959925;11.7503713793103;11.7785875862069;11.2912175
2019-01-08;11.5704983333333;11.2662070833333;11.5905508333333;11.7397990322581;11.7690377419355;11.27998625
2019-01-09;11.5599325;11.2676983333333;11.5842629166667;11.72247625;11.75505625;11.2670626086957
2019-01-10;11.556556;11.269716;11.577882;11.71377;11.748474;11.255262
2019-01-13;NA;NA;11.5516957142857;11.6566483333333;11.700865;11.21246
2019-01-14;NA;NA;11.5434778571429;11.6387286666667;11.6862833333333;NA
2019-01-15;NA;NA;11.53353;11.6163671428571;11.6704528571429;NA
2019-01-16;NA;NA;11.5211276470588;11.5958375;11.655327;NA
2019-01-17;11.48224;11.2700744444444;11.507561875;11.580976875;11.63930875;11.1778475
2019-01-18;11.4642722727273;11.2708836363636;11.4968514285714;11.5663212;11.6245976;11.1686175
2019-01-19;11.4559484;11.273372;11.4870804545455;11.5466220833333;11.6062383333333;11.1624454545455
2019-01-20;11.4455308333333;11.2754829166667;11.47846375;11.5344896428571;11.5883678571429;11.1539141666667
2019-01-21;11.4319895;11.273292;11.4729415789474;11.520133;11.5773895;11.144381
2019-01-22;NA;NA;11.4593975;11.492265;11.553285;NA
2019-01-23;NA;NA;11.4590666666667;11.48928875;11.54355875;NA
